Sample_Ratio,Detector,Expected_Peak,Found_Peak,Intensity,FWHM,Area
75% Anisole: 25% MTBE,4 mm,730,713.635965731144,1.68955927057378,8.70000000000005,11.4892269906124
50% Anisole: 50% MTBE,4 mm,730,713.635965731144,1.7173023179258,8.10000000000002,10.8371496592407
25 Anisole: 75% MTBE,4 mm,730,713.635965731144,1.80902541874947,8.10000000000002,11.5090297691406
0% Anisole: 100 MTBE,4 mm,730,713.635965731144,1.8303890584064,8.10000000000002,11.5369028061445
100% Anisole: 0% MTBE,5 mm,730,713.635965731144,1.76268693028274,8.39999999999998,11.6190462871671
75% Anisole: 25% MTBE,5 mm,730,713.635965731144,1.69546451762622,8.39999999999998,11.1084780435302
50% Anisole: 50% MTBE,5 mm,730,713.635965731144,1.7472882733588,8.10000000000002,11.0233532507288
25 Anisole: 75% MTBE,5 mm,730,713.635965731144,1.82149162506531,8.39999999999998,12.0446590179072
0% Anisole: 100 MTBE,5 mm,730,713.635965731144,1.83099225584066,8.39999999999998,12.0347429715915
100% Anisole: 0% MTBE,0 mm,860,863.635965731144,9.30342782761324,8.69999999999993,62.8119869229914
75% Anisole: 25% MTBE,0 mm,860,863.635965731144,6.95002304547131,9,48.8843210216336
50% Anisole: 50% MTBE,0 mm,860,863.635965731144,8.96997391928331,8.69999999999993,60.5109890969421
25 Anisole: 75% MTBE,0 mm,860,863.635965731144,9.29584009629348,8.39999999999998,61.2107145689094
0% Anisole: 100 MTBE,0 mm,860,863.635965731144,9.46350729697855,8.39999999999998,62.5151022248299
100% Anisole: 0% MTBE,1 mm,860,863.635965731144,9.27317554648773,8.70000000000005,62.8876940703608
75% Anisole: 25% MTBE,1 mm,860,863.635965731144,7.60230090429847,8.70000000000005,51.8183366961051
50% Anisole: 50% MTBE,1 mm,860,863.635965731144,9.24684235182932,8.70000000000005,62.6540067427378
25 Anisole: 75% MTBE,1 mm,860,863.635965731144,9.3456156499468,8.70000000000005,63.4209414637283
0% Anisole: 100 MTBE,1 mm,860,863.635965731144,9.56390920599055,8.39999999999998,62.7041310623941
100% Anisole: 0% MTBE,2 mm,860,861.535965731144,8.95748767793368,9,64.0238847995762
75% Anisole: 25% MTBE,2 mm,860,861.535965731144,7.63787459787668,9.29999999999995,56.2138530907275
50% Anisole: 50% MTBE,2 mm,860,861.535965731144,8.85520898770002,9.29999999999995,64.2327078484292
25 Anisole: 75% MTBE,2 mm,860,861.535965731144,9.01184073635296,9,65.0037207211866
0% Anisole: 100 MTBE,2 mm,860,861.535965731144,9.14040322969199,9,65.6544973593956
100% Anisole: 0% MTBE,3 mm,860,861.535965731144,9.51362298735664,8.70000000000005,65.1968387128436
75% Anisole: 25% MTBE,3 mm,860,861.535965731144,8.30344066760572,9.29999999999995,59.8610814809214
50% Anisole: 50% MTBE,3 mm,860,861.535965731144,9.13018804168052,9,63.7271989073218
25 Anisole: 75% MTBE,3 mm,860,861.535965731144,9.43937007927808,9,66.4646229225712
0% Anisole: 100 MTBE,3 mm,860,861.535965731144,9.66227423757154,9,67.9428874519181
100% Anisole: 0% MTBE,4 mm,860,861.535965731144,8.92009757946323,9.29999999999995,65.8678381033154
75% Anisole: 25% MTBE,4 mm,860,861.535965731144,8.27226472257986,9.29999999999995,61.0402388481552
50% Anisole: 50% MTBE,4 mm,860,861.535965731144,8.79882658681246,9,63.5201501829663
25 Anisole: 75% MTBE,4 mm,860,861.535965731144,9.15996123023952,9.29999999999995,67.0934591887193
