Sample_Ratio,Detector,Expected_Peak,Found_Peak,Intensity,FWHM,Area
75% Anisole: 25% MTBE,4 mm,730,713.635965731144,1.83556715302201,7.79999999999995,11.1779670006764
50% Anisole: 50% MTBE,4 mm,730,713.635965731144,1.80817658122687,7.79999999999995,10.9023747432466
25 Anisole: 75% MTBE,4 mm,730,713.635965731144,1.83958834670655,7.79999999999995,11.040048396218
0% Anisole: 100 MTBE,4 mm,730,713.635965731144,1.85234193653352,7.79999999999995,11.1992479280918
100% Anisole: 0% MTBE,5 mm,730,713.635965731144,1.9889264046915,6.89999999999998,10.3444326780681
75% Anisole: 25% MTBE,5 mm,730,713.635965731144,2.01313737241016,7.19999999999993,10.9611289698149
50% Anisole: 50% MTBE,5 mm,730,713.635965731144,1.98082266576646,7.19999999999993,10.7454888281233
25 Anisole: 75% MTBE,5 mm,730,713.635965731144,2.06879852053022,6.89999999999998,10.67165524619
0% Anisole: 100 MTBE,5 mm,730,713.635965731144,2.01810722537667,7.19999999999993,10.9021679852426
100% Anisole: 0% MTBE,0 mm,860,865.435965731144,10.2161530612995,7.5,58.5220528813665
75% Anisole: 25% MTBE,0 mm,860,865.435965731144,9.77278654905508,7.5,56.237915661307
50% Anisole: 50% MTBE,0 mm,860,865.435965731144,10.1407805615059,7.5,58.1527415928852
25 Anisole: 75% MTBE,0 mm,860,865.435965731144,10.4051816109053,7.19999999999993,57.5913899177656
0% Anisole: 100 MTBE,0 mm,860,865.435965731144,10.0997131512571,7.5,58.6094760063307
100% Anisole: 0% MTBE,1 mm,860,863.635965731144,9.49578676483275,8.10000000000002,60.2854062263348
75% Anisole: 25% MTBE,1 mm,860,863.635965731144,9.08785597435017,8.10000000000002,58.0446787460978
50% Anisole: 50% MTBE,1 mm,860,863.635965731144,9.55524451411451,8.10000000000002,60.2574154429036
25 Anisole: 75% MTBE,1 mm,860,863.635965731144,9.70731252795656,8.10000000000002,61.5223908418358
0% Anisole: 100 MTBE,1 mm,860,863.635965731144,9.5490920459495,8.10000000000002,60.5780029499623
100% Anisole: 0% MTBE,2 mm,860,863.335965731144,9.3443044212271,8.40000000000009,61.3949995409742
75% Anisole: 25% MTBE,2 mm,860,863.335965731144,9.05519436699064,8.40000000000009,59.4443269419397
50% Anisole: 50% MTBE,2 mm,860,863.335965731144,9.47977577167494,8.40000000000009,61.6412022862583
25 Anisole: 75% MTBE,2 mm,860,863.335965731144,9.50984900832331,8.10000000000002,60.4178895868313
0% Anisole: 100 MTBE,2 mm,860,863.335965731144,9.30258320098136,8.40000000000009,60.9081623419293
100% Anisole: 0% MTBE,3 mm,860,861.535965731144,9.51125519635433,8.69999999999993,64.0804007210998
75% Anisole: 25% MTBE,3 mm,860,861.535965731144,9.15378914155,8.69999999999993,62.1191866581319
50% Anisole: 50% MTBE,3 mm,860,861.535965731144,9.58408747654367,8.39999999999998,62.9773831070778
25 Anisole: 75% MTBE,3 mm,860,861.535965731144,9.67877965736233,8.39999999999998,63.6919644442209
0% Anisole: 100 MTBE,3 mm,860,861.535965731144,9.51457088334577,8.69999999999993,64.1817955889285
100% Anisole: 0% MTBE,4 mm,860,861.535965731144,9.05671366741924,9,64.4459212057552
75% Anisole: 25% MTBE,4 mm,860,861.535965731144,8.7385008967792,9,62.2652518461976
50% Anisole: 50% MTBE,4 mm,860,861.535965731144,9.16022520701556,9,64.7981165236551
